beach,Causa,Cover,vegetacion,arena,palitos,troncos,basura,conchitas,Distancia a huellas de vehiculos (m),ORV tracks,Cattle tracks,Heces,Persona,Dog footprints,Bird tracks
Arauco,flooded,descubierto,0,86,3,0,3,8,2,1,0,0,1,0,0
Arauco,predated,descubierto,45,50,1,0,3,1,1,2,1,0,1,2,0
Arauco,flooded,descubierto,0,70,15,0,5,10,12,1,0,0,0,0,2
Arauco,flooded,descubierto,5,61,20,1,5,8,8,1,2,0,0,0,0
Arauco,flooded,descubierto,0,88,5,1,1,5,8,1,0,0,0,0,0
Arauco,predated,descubierto,25,66,5,0,3,1,0.5,3,2,0,0,0,0
Arauco,flooded,descubierto,0,88,3,0,1,8,8,2,0,0,0,0,0
Arauco,predated,descubierto,5,64,15,1,5,10,5,2,0,0,1,0,0
Arauco,flooded,descubierto,0,75,12,0,3,10,10,1,0,0,0,0,0
Arauco,predated,descubierto,45,47,4,1,3,0,2,2,3,1,0,0,0
Arauco,predated,descubierto,1,70,20,1,3,5,18,1,0,0,1,0,0
Arauco,predated,descubierto,0,69,15,1,7,8,5,1,0,0,0,0,0
Arauco,predated,descubierto,0,82,3,0,5,10,25,0,0,0,0,0,0
Arauco,predated,descubierto,0,77,7,2,5,9,35,1,0,0,0,1,0
Horcones,flooded,descubierto,1,70,8,0,1,20,8,0,0,0,0,0,0
Horcones,predated,descubierto,10,79,2,1,5,3,0.1,2,0,0,0,0,0
Horcones,flooded,descubierto,0,90,3,1,1,5,14,0,0,0,0,0,0
Horcones,predated,descubierto,1,94,2,0,1,2,1,2,0,0,0,0,0
Horcones,predated,descubierto,60,34,2,0,3,1,0,2,2,1,0,0,0
Horcones,predated,descubierto,0,94,1,1,0,4,10,0,0,0,0,0,0
Horcones,predated,descubierto,8,83,2,1,3,3,7,1,1,0,0,0,0
Horcones,predated,descubierto,35,51,4,1,5,4,2,2,2,1,0,0,0
Horcones,predated,descubierto,0,70,11,2,2,15,3,1,0,0,0,0,0
Horcones,predated,descubierto,4,88,3,0,4,1,0.4,3,0,0,0,0,0
Horcones,predated,descubierto,38,41,6,0,5,10,2,1,2,1,0,0,0
Horcones,predated,descubierto,0,86,5,0,1,8,22,0,0,0,0,0,0
Horcones,predated,descubierto,0,91,2,0,3,4,5,1,1,0,0,0,0
Horcones,predated,descubierto,0,85,5,5,2,3,1.5,2,1,0,0,0,0
Horcones,trampled,descubierto,2,80,10,3,2,3,1,2,2,0,0,2,0
Arauco,live,descubierto,15,58,10,2,0,15,6,2,0,0,2,1,0
Arauco,live,descubierto,40,49,5,0,5,1,6.5,2,0,0,1,1,0
Arauco,live,descubierto,8,67,10,0,0,15,0.1,2,0,0,2,0,0
Arauco,predated,descubierto,0,76,3,0,1,20,0.3,2,0,0,2,0,1
Arauco,live,descubierto,0,44,5,0,1,50,0.1,2,0,0,1,0,1
Arauco,predated,descubierto,8,82,3,1,5,1,2.5,1,1,0,0,1,0
Arauco,predated,descubierto,0,77,3,0,0,20,0,1,0,0,0,0,0
Arauco,predated,descubierto,0,84,5,1,0,10,0.2,1,0,0,0,1,0
Arauco,predated,descubierto,10,59,5,3,5,18,8,1,1,0,0,1,1
Arauco,predated,descubierto,30,63,5,0,2,0,6,1,1,0,0,1,1
Arauco,predated,descubierto,10,45,15,5,5,20,1,1,0,0,0,1,1
Arauco,predated,descubierto,20,75,5,0,0,0,3.5,1,0,0,0,0,0
Arauco,live,descubierto,40,45,10,0,5,0,0.1,1,1,0,0,1,0
Arauco,predated,descubierto,0,13,10,5,2,70,2,1,0,0,0,1,1
Arauco,live,descubierto,0,30,15,0,5,50,0.2,2,1,0,0,1,1
Horcones,live,descubierto,2,80,6,0,0,12,50,0,0,0,1,0,1
Horcones,predated,descubierto,10,83,2,0,0,5,50,1,0,0,1,0,0
Horcones,predated,descubierto,13,80,6,0,0,1,6,1,0,0,0,1,0
Horcones,predated,descubierto,16,79,3,0,1,1,1.5,1,0,0,0,1,1
Horcones,live,descubierto,15,81,3,0,0,1,10,1,0,0,0,0,0
Horcones,live,descubierto,5,73,7,2,0,13,0.5,1,0,0,0,0,1
Horcones,live,descubierto,15,82,2,1,0,0,5,1,0,0,1,0,0
Horcones,predated,descubierto,17,74,2,0,5,2,50,0,0,0,1,0,0
Horcones,flooded,descubierto,0,69,10,5,1,15,1.5,0,0,0,0,0,2
Horcones,predated,descubierto,4,84,5,2,0,5,50,0,0,0,0,0,2
Horcones,predated,descubierto,13,78,5,0,0,4,50,0,0,0,0,0,2
Horcones,predated,descubierto,0,67,15,0,0,18,3,0,0,0,0,0,2
Horcones,live,descubierto,6,69,8,0,2,15,0.2,1,0,0,1,0,1
Horcones,live,descubierto,2,88,5,0,1,4,9,0,0,0,1,0,1
Horcones,predated,descubierto,20,71,4,2,0,3,50,0,0,0,1,0,0
Horcones,live,descubierto,10,78,6,0,2,4,50,1,0,0,1,0,1
Horcones,live,descubierto,4,82,8,0,0,6,4,1,0,0,0,0,1
Horcones,live,descubierto,40,50,3,2,2,3,50,0,0,0,0,0,2
Horcones,live,descubierto,15,75,5,0,0,5,50,0,0,0,1,0,1
Horcones,live,descubierto,8,81,3,6,0,2,50,0,0,0,0,0,2
Horcones,predated,descubierto,1,48,20,6,0,25,0.15,1,0,0,1,0,2
Horcones,live,descubierto,40,52,5,0,0,3,50,0,0,0,1,0,1
Horcones,live,descubierto,70,25,3,0,0,2,50,0,0,0,0,0,1
Horcones,predated,descubierto,55,34,6,0,0,5,50,0,0,0,1,0,1
Arauco,predated,descubierto,0,78,5,0,2,15,0,2,0,0,2,1,0
Arauco,trampled,cubierto,0,95,5,0,0,0,0,4,2,1,4,1,0
Arauco,trampled,descubierto,10,62,8,0,20,0,1,4,1,0,4,1,0
Arauco,flooded,descubierto,0,75,5,0,0,20,0.5,1,0,0,2,1,0
Arauco,live,descubierto,40,52,5,0,3,0,4,1,1,0,0,0,0
Arauco,live,descubierto,0,73,5,0,2,20,8,1,1,0,1,0,0
Arauco,flooded,descubierto,0,86,3,0,3,8,1,2,0,0,0,0,0
Arauco,live,descubierto,10,68,5,2,3,12,8,1,1,0,0,0,0
Arauco,predated,descubierto,0,82,5,0,3,10,0.1,2,0,0,0,1,1
Arauco,predated,descubierto,80,6,10,1,3,0,5,1,1,1,0,0,0
Arauco,predated,descubierto,0,87,1,0,2,10,0.2,4,0,0,0,1,2
Arauco,predated,descubierto,0,41,8,0,1,50,6,4,0,0,0,0,1
Arauco,live,descubierto,0,73,6,0,1,20,0.2,1,0,0,0,0,1
Arauco,live,descubierto,5,44,18,5,1,27,3,1,0,0,1,0,1
Horcones,live,descubierto,0,82,5,0,6,7,50,0,0,0,0,0,1
Horcones,live,descubierto,16,79,2,0,3,0,6,1,0,0,0,0,1
Horcones,live,descubierto,0,82,5,0,0,13,50,0,0,0,0,0,1
Horcones,live,descubierto,20,66,2,0,7,5,1,1,0,0,0,0,1
Horcones,predated,descubierto,0,85,7,0,0,8,50,0,0,0,0,0,1
Horcones,predated,descubierto,5,78,0,2,3,12,50,1,0,0,0,0,1
Horcones,live,descubierto,10,88,0,0,2,0,50,1,0,0,0,0,1
Horcones,live,descubierto,16,82,0,0,2,0,50,1,0,0,0,1,1
Horcones,live,descubierto,15,72,3,0,8,2,50,1,0,0,0,0,0
Horcones,live,descubierto,0,70,5,15,0,10,50,0,0,0,0,0,1
Horcones,live,descubierto,7,83,3,0,3,4,50,1,0,0,0,0,1
Horcones,live,descubierto,16,76,3,0,3,2,2,1,0,0,0,0,0
Horcones,live,descubierto,16,65,5,2,6,6,50,1,0,0,0,0,0
Horcones,live,descubierto,0,68,10,3,7,12,50,0,0,0,0,1,1
Horcones,live,descubierto,10,77,0,8,3,2,50,0,0,0,0,1,1
Horcones,live,descubierto,15,51,10,2,7,15,50,1,0,0,0,0,1
Horcones,live,descubierto,0,87,6,0,0,7,50,0,0,0,0,1,1
Horcones,live,descubierto,1,84,1,8,0,6,50,0,0,0,0,1,0
Horcones,live,descubierto,12,86,0,0,0,2,50,0,0,0,0,1,0
Horcones,live,descubierto,14,76,2,0,6,2,50,1,0,0,0,0,0
Horcones,live,descubierto,15,75,3,5,1,1,50,1,0,0,0,0,0
Horcones,live,descubierto,0,73,10,0,2,15,50,0,0,0,0,0,1
Horcones,live,descubierto,0,66,7,10,5,12,50,0,0,0,0,0,1
Horcones,live,descubierto,5,88,0,0,0,7,50,1,0,0,0,1,0
Horcones,live,descubierto,8,92,0,0,0,0,50,0,0,0,0,1,0
Horcones,live,descubierto,13,75,2,0,5,5,50,0,0,0,0,1,1
